timestamp,fleet_avg,fleet_p95,sample_count
2026-01-08T23:14:00.000Z,0.1216,0.1216,1
2026-01-08T23:19:00.000Z,0.1417,0.1417,1
2026-01-08T23:24:00.000Z,0.1216,0.1216,1
2026-01-08T23:29:00.000Z,0.1450,0.1450,1
2026-01-08T23:34:00.000Z,0.1233,0.1233,1
2026-01-08T23:39:00.000Z,0.1434,0.1434,1
2026-01-08T23:44:00.000Z,0.1216,0.1216,1
2026-01-08T23:49:00.000Z,0.1417,0.1417,1
2026-01-08T23:54:00.000Z,0.1217,0.1217,1
2026-01-08T23:59:00.000Z,0.1600,0.1600,1
2026-01-09T00:04:00.000Z,0.1433,0.1433,1
2026-01-09T00:09:00.000Z,0.1417,0.1417,1
2026-01-09T00:14:00.000Z,0.1233,0.1233,1
2026-01-09T00:19:00.000Z,0.1433,0.1433,1
2026-01-09T00:24:00.000Z,0.1167,0.1167,1
2026-01-09T00:29:00.000Z,0.1434,0.1434,1
2026-01-09T00:34:00.000Z,0.1216,0.1216,1
2026-01-09T00:39:00.000Z,0.1316,0.1316,1
2026-01-09T00:44:00.000Z,0.1134,0.1134,1
2026-01-09T00:49:00.000Z,0.1433,0.1433,1
2026-01-09T00:54:00.000Z,0.1266,0.1266,1
2026-01-09T00:59:00.000Z,0.1416,0.1416,1
2026-01-09T01:04:00.000Z,0.1117,0.1117,1
2026-01-09T01:09:00.000Z,0.1450,0.1450,1
2026-01-09T01:14:00.000Z,0.1183,0.1183,1
2026-01-09T01:19:00.000Z,0.1467,0.1467,1
2026-01-09T01:24:00.000Z,0.1216,0.1216,1
2026-01-09T01:29:00.000Z,0.1433,0.1433,1
2026-01-09T01:34:00.000Z,0.1217,0.1217,1
2026-01-09T01:39:00.000Z,0.1417,0.1417,1
2026-01-09T01:44:00.000Z,0.1217,0.1217,1
2026-01-09T01:49:00.000Z,0.1450,0.1450,1
2026-01-09T01:54:00.000Z,0.1217,0.1217,1
2026-01-09T01:59:00.000Z,0.1450,0.1450,1
2026-01-09T02:04:00.000Z,0.1233,0.1233,1
2026-01-09T02:09:00.000Z,0.1434,0.1434,1
2026-01-09T02:14:00.000Z,0.1234,0.1234,1
2026-01-09T02:19:00.000Z,0.1417,0.1417,1
2026-01-09T02:24:00.000Z,0.1200,0.1200,1
2026-01-09T02:29:00.000Z,0.1467,0.1467,1
2026-01-09T02:34:00.000Z,0.1216,0.1216,1
2026-01-09T02:39:00.000Z,0.1450,0.1450,1
2026-01-09T02:44:00.000Z,0.1233,0.1233,1
2026-01-09T02:49:00.000Z,0.1433,0.1433,1
2026-01-09T02:54:00.000Z,0.1183,0.1183,1
2026-01-09T02:59:00.000Z,0.1450,0.1450,1
2026-01-09T03:04:00.000Z,0.1200,0.1200,1
2026-01-09T03:09:00.000Z,0.1467,0.1467,1
2026-01-09T03:14:00.000Z,0.1183,0.1183,1
2026-01-09T03:19:00.000Z,0.1500,0.1500,1
2026-01-09T03:24:00.000Z,0.1233,0.1233,1
2026-01-09T03:29:00.000Z,0.1400,0.1400,1
2026-01-09T03:34:00.000Z,0.1100,0.1100,1
2026-01-09T03:39:00.000Z,0.1367,0.1367,1
2026-01-09T03:44:00.000Z,0.1233,0.1233,1
2026-01-09T03:49:00.000Z,0.1317,0.1317,1
2026-01-09T03:54:00.000Z,0.1217,0.1217,1
2026-01-09T03:59:00.000Z,0.1450,0.1450,1
2026-01-09T04:04:00.000Z,0.1234,0.1234,1
2026-01-09T04:09:00.000Z,0.1483,0.1483,1
2026-01-09T04:14:00.000Z,0.1233,0.1233,1
2026-01-09T04:19:00.000Z,0.1317,0.1317,1
2026-01-09T04:24:00.000Z,0.1183,0.1183,1
2026-01-09T04:29:00.000Z,0.1450,0.1450,1
2026-01-09T04:34:00.000Z,0.1234,0.1234,1
2026-01-09T04:39:00.000Z,0.1416,0.1416,1
2026-01-09T04:44:00.000Z,0.1217,0.1217,1
2026-01-09T04:49:00.000Z,0.1400,0.1400,1
2026-01-09T04:54:00.000Z,0.1200,0.1200,1
2026-01-09T04:59:00.000Z,0.1450,0.1450,1
2026-01-09T05:04:00.000Z,0.1200,0.1200,1
2026-01-09T05:09:00.000Z,0.1450,0.1450,1
2026-01-09T05:14:00.000Z,0.1217,0.1217,1
2026-01-09T05:19:00.000Z,0.1433,0.1433,1
2026-01-09T05:24:00.000Z,0.1217,0.1217,1
2026-01-09T05:29:00.000Z,0.1617,0.1617,1
2026-01-09T05:34:00.000Z,0.1867,0.1867,1
2026-01-09T05:39:00.000Z,0.1450,0.1450,1
